task_name,query,run,model_name,image_path,ground_truth,raw_answer,time_ms
position_common_scale,"Estimate the block's vertical position (range: 0-60, top to bottom). Number only. No explanation.",1,CustomLLaMA,/hpcstor6/scratch01/h/huuthanhvy.nguyen001/EXP1/finetuning-EXP1numberfive/images/position_common_scale_2656b61e-e6f7-4a0c-825c-c9b396af4d4e.jpg,37.0,"user
Estimate the block's vertical position (range: 0-60, top to bottom). Number only. No explanation.
assistant

11.0",1269.9222564697266
position_common_scale,"Estimate the block's vertical position (range: 0-60, top to bottom). Number only. No explanation.",1,gpt4o,/hpcstor6/scratch01/h/huuthanhvy.nguyen001/EXP1/finetuning-EXP1numberfive/images/position_common_scale_2656b61e-e6f7-4a0c-825c-c9b396af4d4e.jpg,37.0,30,6233.26301574707
position_common_scale,"Estimate the block's vertical position (range: 0-60, top to bottom). Number only. No explanation.",1,LLaMA,/hpcstor6/scratch01/h/huuthanhvy.nguyen001/EXP1/finetuning-EXP1numberfive/images/position_common_scale_2656b61e-e6f7-4a0c-825c-c9b396af4d4e.jpg,37.0,"user

Estimate the block's vertical position (range: 0-60, top to bottom). Number only. No explanation.assistant

40",8582.22770690918
position_common_scale,"Estimate the block's vertical position (range: 0-60, top to bottom). Number only. No explanation.",1,GeminiProVision,/hpcstor6/scratch01/h/huuthanhvy.nguyen001/EXP1/finetuning-EXP1numberfive/images/position_common_scale_2656b61e-e6f7-4a0c-825c-c9b396af4d4e.jpg,37.0,"22
",5687.210559844971
position_common_scale,"Estimate the block's vertical position (range: 0-60, top to bottom). Number only. No explanation.",1,Gemini1_5Flash,/hpcstor6/scratch01/h/huuthanhvy.nguyen001/EXP1/finetuning-EXP1numberfive/images/position_common_scale_2656b61e-e6f7-4a0c-825c-c9b396af4d4e.jpg,37.0,"30
",5382.140874862671
position_common_scale,"Estimate the block's vertical position (range: 0-60, top to bottom). Number only. No explanation.",2,CustomLLaMA,/hpcstor6/scratch01/h/huuthanhvy.nguyen001/EXP1/finetuning-EXP1numberfive/images/position_common_scale_2656b61e-e6f7-4a0c-825c-c9b396af4d4e.jpg,37.0,"user
Estimate the block's vertical position (range: 0-60, top to bottom). Number only. No explanation.
assistant

8.0",553.4043312072754
position_common_scale,"Estimate the block's vertical position (range: 0-60, top to bottom). Number only. No explanation.",2,gpt4o,/hpcstor6/scratch01/h/huuthanhvy.nguyen001/EXP1/finetuning-EXP1numberfive/images/position_common_scale_2656b61e-e6f7-4a0c-825c-c9b396af4d4e.jpg,37.0,35,5901.62992477417
position_common_scale,"Estimate the block's vertical position (range: 0-60, top to bottom). Number only. No explanation.",2,LLaMA,/hpcstor6/scratch01/h/huuthanhvy.nguyen001/EXP1/finetuning-EXP1numberfive/images/position_common_scale_2656b61e-e6f7-4a0c-825c-c9b396af4d4e.jpg,37.0,"user

Estimate the block's vertical position (range: 0-60, top to bottom). Number only. No explanation.assistant

43",8940.515041351318
position_common_scale,"Estimate the block's vertical position (range: 0-60, top to bottom). Number only. No explanation.",2,GeminiProVision,/hpcstor6/scratch01/h/huuthanhvy.nguyen001/EXP1/finetuning-EXP1numberfive/images/position_common_scale_2656b61e-e6f7-4a0c-825c-c9b396af4d4e.jpg,37.0,"28
",5658.810138702393
position_common_scale,"Estimate the block's vertical position (range: 0-60, top to bottom). Number only. No explanation.",2,Gemini1_5Flash,/hpcstor6/scratch01/h/huuthanhvy.nguyen001/EXP1/finetuning-EXP1numberfive/images/position_common_scale_2656b61e-e6f7-4a0c-825c-c9b396af4d4e.jpg,37.0,"30
",5543.661594390869
position_common_scale,"Estimate the block's vertical position (range: 0-60, top to bottom). Number only. No explanation.",3,CustomLLaMA,/hpcstor6/scratch01/h/huuthanhvy.nguyen001/EXP1/finetuning-EXP1numberfive/images/position_common_scale_2656b61e-e6f7-4a0c-825c-c9b396af4d4e.jpg,37.0,"user
Estimate the block's vertical position (range: 0-60, top to bottom). Number only. No explanation.
assistant

7.0",538.6145114898682
position_common_scale,"Estimate the block's vertical position (range: 0-60, top to bottom). Number only. No explanation.",3,gpt4o,/hpcstor6/scratch01/h/huuthanhvy.nguyen001/EXP1/finetuning-EXP1numberfive/images/position_common_scale_2656b61e-e6f7-4a0c-825c-c9b396af4d4e.jpg,37.0,20,5958.632707595825
position_common_scale,"Estimate the block's vertical position (range: 0-60, top to bottom). Number only. No explanation.",3,LLaMA,/hpcstor6/scratch01/h/huuthanhvy.nguyen001/EXP1/finetuning-EXP1numberfive/images/position_common_scale_2656b61e-e6f7-4a0c-825c-c9b396af4d4e.jpg,37.0,"user

Estimate the block's vertical position (range: 0-60, top to bottom). Number only. No explanation.assistant

35",8798.670768737793
position_common_scale,"Estimate the block's vertical position (range: 0-60, top to bottom). Number only. No explanation.",3,GeminiProVision,/hpcstor6/scratch01/h/huuthanhvy.nguyen001/EXP1/finetuning-EXP1numberfive/images/position_common_scale_2656b61e-e6f7-4a0c-825c-c9b396af4d4e.jpg,37.0,"23
",5641.082048416138
position_common_scale,"Estimate the block's vertical position (range: 0-60, top to bottom). Number only. No explanation.",3,Gemini1_5Flash,/hpcstor6/scratch01/h/huuthanhvy.nguyen001/EXP1/finetuning-EXP1numberfive/images/position_common_scale_2656b61e-e6f7-4a0c-825c-c9b396af4d4e.jpg,37.0,"35
",5451.415538787842
position_common_scale,"Estimate the block's vertical position (range: 0-60, top to bottom). Number only. No explanation.",1,CustomLLaMA,/hpcstor6/scratch01/h/huuthanhvy.nguyen001/EXP1/finetuning-EXP1numberfive/images/position_common_scale_3f1cf6c6-b526-4ffa-9c25-38c249cf4cc6.jpg,16.0,"user
Estimate the block's vertical position (range: 0-60, top to bottom). Number only. No explanation.
assistant

8.0",526.348352432251
position_common_scale,"Estimate the block's vertical position (range: 0-60, top to bottom). Number only. No explanation.",1,gpt4o,/hpcstor6/scratch01/h/huuthanhvy.nguyen001/EXP1/finetuning-EXP1numberfive/images/position_common_scale_3f1cf6c6-b526-4ffa-9c25-38c249cf4cc6.jpg,16.0,32,6096.102714538574
